PC1,PC2,PC3
-2.472908240121311,-1.509901833021786,0.2809530774396322
-2.6587055629066674,-1.5400232513015917,0.27014567059499717
-2.4539276295898036,-1.3986815600418128,0.26872113250835744
-2.5533359619954648,-1.5460783799522406,0.29260153612389717
-2.473349330935186,-1.446865256634934,0.3301753366484555
-2.431606417781181,-1.5320602040973976,0.22870932050014872
1.8241836127653597,0.06770732215151141,0.38229225257889066
0.8903553439637065,0.6286383788733542,0.23492239226645462
-2.503656732532305,-0.9789094507124287,0.14374103016277887
-0.5959902515640829,1.132943604110198,-0.25136811245804985
0.03649171757198608,0.8804091271170944,0.0054978863742525625
1.0250882001313693,0.06698407221606902,0.8444794878780081
0.7940857315480528,0.4709714546971855,0.03645651575355898
-1.4383469785845586,0.7974203303602191,-0.27016391939654943
-2.2406316761420397,-0.7614495503157896,0.14452147909146926
-0.29432405086874697,1.3373855589226231,-0.2788144658176906
-1.307681734893573,1.6998574961670745,-0.6666278735925463
-1.1450083019411132,1.9057323066108227,-0.7474114964643391
2.830581089893401,0.3085986393545976,0.7353832536462178
-1.1873369554546263,1.6723960445198442,-0.6452045142885369
-2.5700984440154806,-1.3276671528556152,0.2169200730664804
-0.986687160831597,1.4143522297300117,-0.44213530899363235
-1.24315953828813,1.6442926653774064,-0.6417256630796183
2.378113425146352,0.4658493030869829,0.7583195034952863
-0.18961469113006915,0.6524845569903533,-0.07443662868398784
-1.363420056237084,1.6914105176692291,-0.6315132032882764
4.479986910282562,0.2699610470518215,0.3406618301575353
2.414337133756505,-1.0772989568635052,-1.2468444733052664
-1.1752088845774884,1.2113783869545336,-0.4370700669820468
2.379919862396447,1.456619573165288,3.16177896658152
-2.4646708507590547,-1.3142446927975624,0.23565802696697952
4.204700335404812,-1.1204971263072887,-0.5495594542770701
4.393601844690962,-1.9306357469151425,-1.1415042965064361
3.745000153736503,-0.8744631991332515,0.42691668793037624
4.353224089861548,-1.4166162541758747,-1.3144759826312504
